,GroupName,ContestantName,PartyName,TotalVotes,ContestantVotePercent
86,Idaho Secretary of State,Dorothy Moon,Republican Party,108340,41.30%
87,Idaho Secretary of State,Mary Souza,Republican Party,40496,15.44%
88,Idaho State Controller,Miste Gardner,Constitution Party,496,100.00%
89,Idaho State Controller,Dianna David,Democratic Party,31388,100.00%
90,Idaho State Controller,Brandon D Woolf,Republican Party,217435,100.00%
91,Idaho State Treasurer,Jill L Ellsworth,Democratic Party,31907,100.00%
92,Idaho State Treasurer,Julie A. Ellsworth,Republican Party,215271,100.00%
93,Idaho State Attorney General,Steven Scanlin,Democratic Party,31365,100.00%
94,Idaho State Attorney General,Raúl R. Labrador,Republican Party,138483,51.38%
95,Idaho State Attorney General,"Arthur (""Art"") Macomber",Republican Party,28386,10.53%
96,Idaho State Attorney General,Lawrence Wasden,Republican Party,102670,38.09%
97,Idaho Superintendent of Public Instruction,Terry L. Gilbert,Democratic Party,31608,100.00%
98,Idaho Superintendent of Public Instruction,Debbie Critchfield,Republican Party,104100,39.76%
99,Idaho Superintendent of Public Instruction,Branden J. Durst,Republican Party,87877,33.56%
100,Idaho Superintendent of Public Instruction,Sherri Ybarra,Republican Party,69841,26.68%
101,Legislative District 1,Scott Herndon,Republican Party,7771,56.17%
102,Legislative District 1,Jim Woodward,Republican Party,6064,43.83%
103,Legislative District 1,Steve R Johnson,Democratic Party,1118,100.00%
104,Legislative District 1,Spencer Hutchings,Republican Party,4093,32.51%
105,Legislative District 1,Adam Rorick,Republican Party,749,5.95%
106,Legislative District 1,Mark Sauter,Republican Party,4816,38.25%
107,Legislative District 1,Travis Thompson,Republican Party,1929,15.32%
108,Legislative District 1,Cynthia P Weiss,Republican Party,1004,7.97%
109,Legislative District 1,Sage G. Dixon,Republican Party,7049,52.28%
110,Legislative District 1,Todd Engel,Republican Party,6435,47.72%
111,Legislative District 2,Jon Cantamessa,Republican Party,1409,16.52%
112,Legislative District 2,Phil Hart,Republican Party,4873,57.14%
113,Legislative District 2,Bill Hasz,Republican Party,2246,26.34%
114,Legislative District 2,Heather Scott,Republican Party,7993,100.00%
